Sample Id,location,sampling_date_JD,rundate,evaporated(no = 0/ yes = 1) ,bad_filters (no = 0/yes =1),storage_time_days,Li7(LR),Li7(LR)_SD,B11(LR),B11(LR)_SD,Ca43(LR),Ca43(LR)_SD,Rb85(LR),Rb85(LR)_SD,Sr88(LR),Sr88(LR)_SD,In115(LR),In115(LR)_SD,Na23(MR),Na23(MR)_SD,Mg25(MR),Mg25(MR)_SD,Al27(MR),Al27(MR)_SD,Si28(MR),Si28(MR)_SD,P31(MR),P31(MR)_SD,Ca44(MR),Ca44(MR)_SD,Mn55(MR),Mn55(MR)_SD,Fe56(MR),Fe56(MR)_SD,Fe57(MR),Fe57(MR)_SD,Co59(MR),Co59(MR)_SD,Ni60(MR),Ni60(MR)_SD,Cu63(MR),Cu63(MR)_SD,Cu65(MR),Cu65(MR)_SD,Zn64(MR),Zn64(MR)_SD,Zn66(MR),Zn66(MR)_SD,Rb85(MR),Rb85(MR)_SD,Sr88(MR),Sr88(MR)_SD,Mo98(MR),Mo98(MR)_SD,In115(MR),In115(MR)_SD,Ba138(MR),Ba138(MR)_SD,K39(HR),K39(HR)_SD,In115(HR),In115(HR)_SD
613,1,588.6166667,20100216,0,0,188.3833333,804.70,9.90,2832.60,19.60,584058.20,12004.20,6.70,0.10,13794.90,540.80,22.30,3.80,379036.20,10288.50,309900.80,4934.00,149.70,3.70,-9999.00,-9999.00,140.90,8.90,575895.00,16847.30,1.50,0.00,43.40,1.70,42.40,2.30,0.00,0.10,0.00,0.00,0.10,1.20,0.20,0.50,174.20,3.00,141.30,18.60,0.00,0.00,12644.40,1704.60,0.00,0.00,28.30,10.80,1672.60,4.90,24531.00,539.40,36.80,5.60
654,1,612.4791667,20100216,0,0,164.5208333,791.90,89.60,2887.70,60.40,1760835.50,51232.90,8.30,0.10,16917.90,447.80,-10.80,8.20,430537.50,6785.80,340616.80,12757.90,82.10,15.50,-9999.00,-9999.00,698.50,0.30,1791033.70,54950.50,6453.90,1.40,83.10,15.10,73.30,0.10,0.60,0.10,0.00,0.00,23.30,3.20,19.30,2.10,200.80,19.30,200.10,4.10,0.00,0.00,15849.40,1801.90,0.00,0.00,-46.50,81.20,2117.90,172.60,42444.80,3349.70,-9.30,5.70
660,1,612.8131944,20100216,0,0,164.1868056,769.30,36.40,2756.50,237.20,1409585.60,104128.90,8.00,0.50,17129.50,847.60,-28.00,1.90,430002.70,10685.60,344220.00,11237.30,11.40,1.20,-9999.00,-9999.00,103.70,12.50,1374669.20,20812.70,85.40,0.10,7.40,1.40,11.30,0.30,0.10,0.10,0.00,0.00,0.20,0.80,0.40,1.10,36.40,4.70,37.20,4.10,0.00,0.00,15694.70,1663.10,0.00,0.00,-8.50,77.10,2015.70,13.10,28794.50,1720.60,-11.40,11.00
661,1,613.5847222,20100216,0,0,163.4152778,687.40,12.50,2727.80,49.10,826927.50,22258.20,7.20,0.40,12554.30,122.10,-20.50,3.50,411873.90,346.40,337509.90,16959.00,14.90,7.30,-9999.00,-9999.00,59.10,13.60,842689.50,11473.40,3.40,0.60,5.90,0.30,2.80,2.50,0.00,0.00,0.00,0.00,-4.40,1.00,-3.20,0.80,287.80,19.70,292.20,11.00,0.00,0.00,14936.70,419.20,0.00,0.00,-8.50,40.30,1871.70,146.30,25013.70,204.90,4.40,1.80
662,1,614.5854167,20100216,0,0,162.4145833,742.80,17.10,3064.00,43.30,691618.30,9844.70,9.30,0.20,15760.10,153.30,-19.20,8.90,404202.20,29628.50,320962.20,34993.30,5.00,2.40,-9999.00,-9999.00,21.40,6.50,606340.60,20918.30,-0.30,0.10,-2.50,0.50,-3.00,4.30,0.00,0.10,0.00,0.00,-1.90,0.60,-1.70,1.60,77.20,0.30,72.30,1.00,0.00,0.00,13370.90,620.30,0.00,0.00,-8.40,30.10,1773.70,163.60,28595.00,334.00,1.70,2.50
663,1,615.5854167,20100216,0,0,161.4145833,748.80,11.50,3078.80,50.10,706310.60,10282.40,7.70,0.20,14069.40,282.30,-18.00,13.10,432019.20,7944.80,336810.80,15389.40,8.60,0.80,-9999.00,-9999.00,59.60,9.20,651932.00,12273.40,2.20,1.20,23.20,1.50,16.20,3.70,0.20,0.00,0.00,0.00,0.50,1.20,0.20,0.10,66.20,2.10,61.70,6.40,0.00,0.00,14049.30,665.80,0.00,0.00,-8.40,66.80,1875.80,110.40,26494.90,40.60,6.90,6.90
664,1,616.5854167,20100216,0,0,160.4145833,831.00,11.60,2842.50,54.00,654506.70,28179.20,7.20,0.30,14891.00,819.20,3.50,2.50,399038.60,9710.40,336601.80,6239.70,3.20,2.60,-9999.00,-9999.00,25.60,4.10,628540.60,8939.90,0.30,0.20,0.10,0.70,-2.20,0.10,-0.10,0.10,0.00,0.00,-0.80,0.10,-1.10,0.10,40.80,4.80,39.60,5.90,0.00,0.00,13377.80,206.20,0.00,0.00,-8.40,21.70,1778.20,53.00,29650.60,889.60,3.80,31.80
665,1,617.5854167,20100216,0,0,159.4145833,841.50,16.00,3211.70,64.90,725405.00,8479.20,8.50,0.30,16588.60,123.90,-15.50,2.40,468517.90,19386.20,365796.00,330.40,10.10,1.80,-9999.00,-9999.00,1526.40,68.40,698481.80,19237.90,13.40,0.30,407.10,9.10,403.50,0.60,1.70,0.10,0.20,0.00,8.90,0.30,7.70,0.20,596.90,13.20,592.20,16.00,0.00,0.00,15903.50,472.30,0.00,0.00,-8.40,11.40,2046.00,30.00,31415.60,41.10,21.20,3.60
666,1,618.5854167,20100216,0,0,158.4145833,789.80,21.30,2814.40,48.20,634878.10,8019.70,7.30,0.10,13814.20,824.40,6.40,4.20,403159.70,2268.90,334044.90,627.70,-5.40,2.30,-9999.00,-9999.00,26.50,2.40,629433.30,11687.90,1.10,0.10,-4.70,0.20,-6.30,0.20,0.00,0.00,0.00,0.00,-2.00,1.10,-1.80,0.30,121.50,2.50,114.40,6.50,0.00,0.00,13562.70,785.30,0.00,0.00,-8.40,27.20,1820.60,158.00,28484.90,627.30,-3.50,4.20
667,1,619.5854167,20100216,0,0,157.4145833,776.10,14.50,2745.20,96.00,741285.80,22550.60,7.20,0.40,14273.90,936.20,-13.00,6.10,412942.50,10052.20,328524.20,20306.50,79.50,1.70,-9999.00,-9999.00,555.50,16.10,759763.80,15924.20,2.70,0.60,-2.20,0.30,-3.40,2.10,0.10,0.10,0.00,0.00,-1.20,0.10,-2.20,0.00,144.00,4.50,141.70,4.20,0.00,0.00,14655.60,578.40,0.00,0.00,-8.40,24.50,1862.50,161.40,27013.40,1168.00,1.60,9.30
