Sample id,sample no,description ,descp no,date,time,year,month,day,hour,minute,filter pore-size,method ,method No. ,Isco  no. 
1K,1,,,,,,,,,,,,,
2K,2,,,,,,,,,,,,,
3K,3,,,,,,,,,,,,,
4K,4,,,,,,,,,,,,,
5K,5,,,,,,,,,,,,,
6K,6,,,,,,,,,,,,,
7K,7,,,,,,,,,,,,,
8K,8,,,,,,,,,,,,,
9K,9,,,,,,,,,,,,,
10K,10,,,,,,,,,,,,,
11K,11,,,,,,,,,,,,,
12K,12,,,,,,,,,,,,,
13K,13,Well 10,10,6/21/2008,12:10,2008,6,21,12,10,0.45,Ref,,0
14K,14,Well 10,10,6/21/2008,12:10,2008,6,21,12,10,0.45,Ref,,0
15K,15,Well 1,1,6/21/2008,14:30,2008,6,21,14,30,0.45,Ref,,0
16K,16,Well 1,1,6/21/2008,14:30,2008,6,21,14,30,0.45,Ref,,0
17K,17,Well 1,1,6/21/2008,14:30,2008,6,21,14,30,0.45,Ref,,0
18K,18,Well 1,1,6/21/2008,14:30,2008,6,21,14,30,0.45,Ref,,0
19K,19,Well 1,1,6/21/2008,14:30,2008,6,21,14,30,0.45,Ref,,0
20K,20,Elder,0,6/21/2008,15:16,2008,6,21,15,16,0.45,Ref,,0
21K,21,Elder,0,6/21/2008,15:16,2008,6,21,15,16,0.45,Ref,,0
22K,22,Elder,0,6/21/2008,15:16,2008,6,21,15,16,0.45,Ref,,0
23K,23,Well 3,3,6/21/2008,16:05,2008,6,21,16,5,0.45,Ref,,0
24K,24,Well 3,3,6/21/2008,16:05,2008,6,21,16,5,0.45,Ref,,0
25K,25,Well 3,3,6/21/2008,16:05,2008,6,21,16,5,0.45,Ref,,0
26K,26,Well 7,7,6/21/2008,16:46,2008,6,21,16,46,0.45,Ref,,0
27K,27,Well 7,7,6/21/2008,16:46,2008,6,21,16,46,0.45,Ref,,0
28K,28,Well 7,7,6/21/2008,16:46,2008,6,21,16,46,0.45,Ref,,0
29K,29,Well 6,6,6/21/2008,17:30,2008,6,21,17,30,0.45,Ref,,0
30K,30,Well 6,6,6/21/2008,17:30,2008,6,21,17,30,0.45,Ref,,0
31K,31,Well 6,6,6/21/2008,17:30,2008,6,21,17,30,0.45,Ref,,0
32K,32,Well 6,6,6/21/2008,17:30,2008,6,21,17,30,0.45,Ref,,0
33K,33,Well 5,5,6/21/2008,17:51,2008,6,21,17,51,0.45,Ref,,0
34K,34,Well 5,5,6/21/2008,17:51,2008,6,21,17,51,0.45,Ref,,0
35K,35,Well 5,5,6/21/2008,17:51,2008,6,21,17,51,0.45,Ref,,0
36K,36,Well 5,5,6/21/2008,17:51,2008,6,21,17,51,0.45,Ref,,0
37K,37,Elder,0,6/22/2008,13:00,2008,6,22,13,0,0.45,Ref,,0
38K,38,Elder,0,6/22/2008,13:00,2008,6,22,13,0,0.45,Ref,,0
39K,39,Elder,0,6/22/2008,13:00,2008,6,22,13,0,0.45,Ref,,0
40K,40,Elder,0,6/22/2008,13:00,2008,6,22,13,0,0.45,Ref,,0
50K,50,Elder,0,6/22/2008,13:00,2008,6,22,13,0,0.45,Ref,,0
51K,51,Elder,0,6/22/2008,13:00,2008,6,22,13,0,0.45,Ref,,0
52K,52,Elder,0,2/16/2008,,2008,2,16,0,0,0.45,Ref,,0
53K,53,Well 1,1,2/16/2008,,2008,2,16,0,0,0.45,Ref,,0
54K,54,Well 2,2,2/16/2008,,2008,2,16,0,0,0.45,Ref,,0
55K,55,Well 3,3,2/16/2008,,2008,2,16,0,0,0.45,Ref,9,0
56K,56,Well 5,5,2/16/2008,,2008,2,16,0,0,0.45,Ref,9,0
57K,57,Well 6,6,2/16/2008,,2008,2,16,0,0,0.45,Ref,9,0
58K,58,Well 7,7,2/16/2008,,2008,2,16,0,0,0.45,Ref,9,0
59K,59,Well 10,10,2/16/2008,,2008,2,16,0,0,0.45,Ref,9,0
60K,60,Elder,0,2/16/2008,,2008,2,16,0,0,0.45,Ref,9,0
61K,61,Elder,0,2/16/2008,,2008,2,16,0,0,0.45,Ref,9,0
62K,62,Well 10,10,9/23/2007,16:02,2007,9,23,16,2,0.45,Ref,9,0
63K,63,Well 1,1,9/23/2007,14:28,2007,9,23,14,28,0.45,Ref,9,0
64K,64,Elder,0,9/23/2007,16:39,2007,9,23,16,39,0.45,Ref,9,0
65K,65,Well 3,3,9/23/2007,12:28,2007,9,23,12,28,0.45,Ref,9,0
66K,66,Well 7,7,9/23/2007,15:45,2007,9,23,15,45,0.45,Ref,9,0
67K,67,Elder,0,9/23/2007,16:27,2007,9,23,16,27,0.45,Ref,9,0
68K,68,Well 6,6,9/23/2007,15:22,2007,9,23,15,22,0.45,Ref,9,0
69K,69,Well 5,5,9/23/2007,15:10,2007,9,23,15,10,0.45,Ref,9,0
70K,70,Well 6,6,8/25/2008,15:00,2008,8,25,15,0,0.45,Ref,9,0
71K,71,Well 6,6,8/25/2008,15:00,2008,8,25,15,0,0.45,Ref,9,0
72K,72,Well 5,5,8/25/2008,15:15,2008,8,25,15,15,0.45,Ref,9,0
73K,73,Well 5,5,8/25/2008,15:15,2008,8,25,15,15,0.45,Ref,9,0
74K,74,Well 1,1,8/25/2008,15:30,2008,8,25,15,30,0.45,Ref,9,0
75K,75,Well 1,1,8/25/2008,15:30,2008,8,25,15,30,0.45,Ref,9,0
76K,76,Well 1,1,8/25/2008,15:30,2008,8,25,15,30,0.45,Ref,9,0
77K,77,Elder,0,8/24/2008,16:00,2008,8,24,16,0,0.45,Ref,9,0
78K,78,Elder,0,8/24/2008,16:00,2008,8,24,16,0,0.45,Ref,9,0
79K,79,Elder,0,8/24/2008,16:00,2008,8,24,16,0,0.45,Ref,9,0
80K,80,Elder,0,8/24/2008,16:00,2008,8,24,16,0,0.45,Ref,9,0
81K,81,Elder,0,8/24/2008,16:00,2008,8,24,16,0,0.45,Ref,9,0
82K,82,Elder,0,8/24/2008,16:00,2008,8,24,16,0,0.45,Ref,9,0
83K,83,Well 3,3,8/25/2008,16:30,2008,8,25,16,30,0.45,Ref,9,0
84K,84,Well 3,3,8/25/2008,16:30,2008,8,25,16,30,0.45,Ref,9,0
85K,85,Well 7,7,8/25/2008,14:40,2008,8,25,14,40,0.45,Ref,9,0
86K,86,Well 7,7,8/25/2008,14:40,2008,8,25,14,40,0.45,Ref,9,0
87K,87,Well 1,1,9/18/2008,,2008,9,18,0,0,0.45,Ref,9,0
88K,88,Well 5,5,9/18/2008,17:20,2008,9,18,17,20,0.45,Ref,9,0
89K,89,Well 10,10,9/18/2008,,2008,9,18,0,0,0.45,Ref,9,0
90K,90,Well 6,6,9/18/2008,15:28,2008,9,18,15,28,0.45,Ref,9,0
91K,91,Well 7,7,9/18/2008,,2008,9,18,0,0,0.45,Ref,9,0
92K,92,Well 7,7,9/18/2008,17:40,2008,9,18,17,40,0.45,Ref,9,0
93K,93,Well 3,3,9/18/2008,17:05,2008,9,18,17,5,0.45,Ref,9,0
94K,94,Elder,0,10/17/2008,12:50,2008,10,17,12,50,0.45,Ref,9,0
95K,95,Elder,0,10/17/2008,12:50,2008,10,17,12,50,0.45,Ref,9,0
96K,96,Elder,0,10/17/2008,12:50,2008,10,17,12,50,0.45,Ref,9,0
97K,97,Well 3,3,10/17/2008,12:55,2008,10,17,12,55,0.45,Ref,9,0
98K,98,Well 3,3,10/17/2008,12:55,2008,10,17,12,55,0.45,Ref,9,0
99K,99,Well 5,5,10/17/2008,13:05,2008,10,17,13,5,0.45,Ref,9,0
100K,100,Well 5,5,10/17/2008,13:05,2008,10,17,13,5,0.45,Ref,9,0
101K,101,Well 6,6,10/17/2008,13:10,2008,10,17,13,10,0.45,Ref,9,0
102K,102,Well 6,6,10/17/2008,13:10,2008,10,17,13,10,0.45,Ref,9,0
103K,103,Well 7,7,10/17/2008,13:16,2008,10,17,13,16,0.45,Ref,9,0
104K,104,Well 10,10,10/17/2008,13:30,2008,10,17,13,30,0.45,Ref,9,0
105K,105,Well 3,3,10/27/2008,17:25,2008,10,27,17,25,0.45,Ref,9,0
106K,106,Well 3,3,10/27/2008,17:25,2008,10,27,17,25,0.45,Ref,9,0
107K,107,Well 5,5,10/27/2008,,2008,10,27,0,0,0.45,Ref,9,0
108K,108,Well 6,6,10/27/2008,17:45,2008,10,27,17,45,0.45,Ref,9,0
109K,109,Well 7,7,10/27/2008,17:55,2008,10,27,17,55,0.45,Ref,9,0
110K,110,Elder,0,10/27/2008,16:05,2008,10,27,16,5,0.45,Ref,9,0
111K,111,Elder,0,10/27/2008,16:05,2008,10,27,16,5,0.45,Ref,9,0
112K,112,Elder,0,10/27/2008,16:05,2008,10,27,16,5,0.45,Ref,9,0
113K,113,Well 2,2,11/13/2008,12:30,2008,11,13,12,30,0.45,Ref,9,0
114K,114,Well 2,2,11/13/2008,12:30,2008,11,13,12,30,0.45,Ref,9,0
115K,115,Well 3,3,11/13/2008,12:45,2008,11,13,12,45,0.45,Ref,9,0
116K,116,Well 3,3,11/13/2008,12:45,2008,11,13,12,45,0.45,Ref,9,0
117K,117,Well 7,7,11/13/2008,12:55,2008,11,13,12,55,0.45,Ref,9,0
118K,118,Well 7,7,11/13/2008,12:55,2008,11,13,12,55,0.45,Ref,9,0
119K,119,Well 6,6,11/13/2008,13:10,2008,11,13,13,10,0.45,Ref,9,0
120K,120,Well 6,6,11/13/2008,13:10,2008,11,13,13,10,0.45,Ref,9,0
121K,121,Well 5,5,11/13/2008,13:20,2008,11,13,13,20,0.45,Ref,9,0
122K,122,Well 5,5,11/13/2008,13:20,2008,11,13,13,20,0.45,Ref,9,0
123K,123,Elder,0,11/13/2008,13:50,2008,11,13,13,50,0.45,Ref,9,0
124K,124,Elder,0,11/13/2008,13:50,2008,11,13,13,50,0.45,Ref,9,0
125K,125,Elder,0,11/13/2008,13:50,2008,11,13,13,50,0.45,Ref,9,0
126K,126,Elder,0,11/13/2008,13:50,2008,11,13,13,50,0.45,Ref,9,0
127K,127,Well 1,1,10/17/2008,13:32,2008,10,17,13,32,0.45,Ref,9,0
128K,128,Elder,0,10/17/2008,12:30,2008,10,17,12,30,0.45,Ref,9,0
129K,129,Elder,0,10/18/2008,12:30,2008,10,18,12,30,0.45,Ref,9,0
130K,130,Elder,0,10/19/2008,12:30,2008,10,19,12,30,0.45,Ref,9,0
131K,131,Elder,0,10/20/2008,12:30,2008,10,20,12,30,0.45,Ref,9,0
132K,132,Elder,0,10/21/2008,12:30,2008,10,21,12,30,0.45,Ref,9,0
133K,133,Elder,0,10/22/2008,12:30,2008,10,22,12,30,0.45,Ref,9,0
