,sample id ,sample id numb,description,description.1,date/time,Bag Label ,Vial Label,Label Color,# of vials,Vial type,Lid type,collected by,received in 395 McCone,notes,Wood/Kim taken,Unnamed: 15,datetime,Sample Id,Li7(LR),Li7(LR)_SD,B11(LR),B11(LR)_SD,Ca43(LR),Ca43(LR)_SD,Rb85(LR),Rb85(LR)_SD,Sr88(LR),Sr88(LR)_SD,In115(LR),In115(LR)_SD,Na23(MR),Na23(MR)_SD,Mg25(MR),Mg25(MR)_SD,Al27(MR),Al27(MR)_SD,Si28(MR),Si28(MR)_SD,P31(MR),P31(MR)_SD,Ca44(MR),Ca44(MR)_SD,Mn55(MR),Mn55(MR)_SD,Fe56(MR),Fe56(MR)_SD,Fe57(MR),Fe57(MR)_SD,Co59(MR),Co59(MR)_SD,Ni60(MR),Ni60(MR)_SD,Cu63(MR),Cu63(MR)_SD,Cu65(MR),Cu65(MR)_SD,Zn64(MR),Zn64(MR)_SD,Zn66(MR),Zn66(MR)_SD,Rb85(MR),Rb85(MR)_SD,Sr88(MR),Sr88(MR)_SD,Mo98(MR),Mo98(MR)_SD,In115(MR),In115(MR)_SD,Ba138(MR),Ba138(MR)_SD,K39(HR),K39(HR)_SD,In115(HR),In115(HR)_SD,Si (ppm),Mg (ppm),Ca (ppm),Na (ppm),K (ppm)
10,14 KR,14,ANGELO,3,2008-12-19 00:00:00,,,,,,,,,,,,2008-12-19 00:00:00,14,6.178804495,0.334722663,992.5954311,22.44263154,4009.186698,121.8615347,0.567688556,0.022096028,13.20275853,0.101780016,-0.165570396,2.697387473,36997.32241,26.06387542,4514.811852,34.1842213,99.68822515,1.099820425,737.3604617,48.63539376,75.84827479,0.867792258,3954.585283,5.943552094,56.80859154,0.67613205,-6.698937784,0.360318573,-8.82995223,0.573146425,0.801306892,0.032160124,0.019438657,0.002183113,754.7204032,10.40324766,764.7107614,7.585613771,4171.268911,9.007459997,4203.886724,53.40499489,0.0,0.0,13.41091476,0.092470739,0.0,0.0,7.545642223,1.1220392,30.03469837,0.068601406,1526.413106,57.45589764,2.358578976,2.587647556,0.0207091372471,0.109709928004,0.158499778143,0.850568442206,0.0596827524446
12,16 KR,16,ANGELO,3,2008-12-22 11:30:00,,,,,,,,,,,,2008-12-22 11:30:00,16,21.543708035,1.43039238034,182.63177805,22.3636761042,6979.556401,158.161461693,6.336989125,0.162980963883,204.747310189,4.73956908441,-3.737137241,0.910519001564,58073.950085,797.087079781,41061.00081,1739.15798617,-141.207489295,0.0981974500412,40663.634512,461.656796872,143.348728625,2.08182653306,6679.5691885,72.7430522886,857.53423313,10.2147212822,-34.04617456,0.259572057622,2562.40994846,69.2015785034,16.9456681495,1.74506520759,15.6085053665,0.0905830982195,252.356533205,6.44970351272,251.85431953,6.43968804738,1229.3974935,22.1666872384,1284.49909705,13.949932395,6.45314588,0.086000026,191.305146321,4.25499001002,0.196924541,0.0614846925,3.7728211115,2.4169538263,857.928994401,19.1002328805,8095.47289095,546.029260245,-6.230289535,1.17103854466,1.14205850709,0.997782319683,0.267717133075,1.33512011245,0.316532990036
13,17 KR,17,ANGELO,3,2008-12-24 11:40:00,,,,,,,,,,,,2008-12-24 11:40:00,17,1.148510727,0.087010705,2.064578446,1.714651314,1433.566999,44.10773356,0.205424871,0.010669058,4.870836138,0.080707418,0.234994776,0.618335225,11611.25278,4.856381389,1701.48281,24.67241367,5.20940236,0.432576651,325.0915108,46.48227915,31.85874069,1.071978671,1373.947631,10.88304782,7.278776705,0.139869209,-5.347066556,0.113336569,-6.220067284,0.382097616,0.143510968,0.025749829,0.036729297,0.000935,522.7914968,5.233024993,507.9217978,17.30341657,1968.578439,21.28258645,1964.898866,76.47072777,0.0,0.0,4.788919638,0.105324884,0.0,0.0,7.545642223,5.648290491,7.619376019,0.2715575,518.4888696,53.30197761,0.591869581,1.384104812,0.00913035762657,0.041346032283,0.0550678210505,0.266942701412,0.0202729148014
16,22 KR,22,ANGELO,3,2008-12-26 10:20:00,,,,,,,,,,,,2008-12-26 10:20:00,22,1.473542834,0.097752767,57.05889821,3.13147955,599.2761335,26.51188637,0.171995347,0.007846325,5.290279764,0.107219735,0.902603394,1.954078586,25988.63926,314.3723458,2931.361054,60.42230082,50.06570623,0.267271315,-435.4690213,3.599886444,50.67018097,3.584605927,635.3621935,26.35936502,31.96451748,0.40487942,9.270247299,0.061675309,7.609931273,1.00402246,0.117867531,0.006518944,0.007245605,0.00091,917.5957334,0.528711873,856.3138011,9.601341904,2149.767166,22.84668909,2269.245106,56.47134186,0.0,0.0,5.604395038,0.255105333,0.0,0.0,7.545642223,3.788653602,4.189504518,0.054251251,743.8659244,8.337519566,4.889262112,0.706000749,-0.0122303651977,0.0712320736122,0.0254653167155,0.597478816587,0.029085157644
17,23 KR,23,ANGELO,3,2008-12-28 11:39:00,,,,,,,,,,,,2008-12-28 11:39:00,23,2.405159674,0.185622837,122.7654056,6.777643642,2065.892784,66.90066642,0.329437174,0.013117695,8.173379724,0.128102869,1.036125118,1.20652807,29416.73949,1442.92715,3856.159881,101.4861509,9.070633791,0.344524563,-722.9363981,3.075336973,475.5827776,21.38852682,1978.542693,34.97655381,10.2044875,0.339138941,-0.930445382,0.495835792,-0.749370216,0.048778419,0.152031116,0.023468199,0.018268824,0.000388,1680.920328,40.97140203,1707.705728,31.85911963,4789.516785,152.263586,4991.085109,39.4509078,0.0,0.0,7.940419238,0.26803858,0.0,0.0,7.545642223,1.66750815,6.967812036,0.166998551,922.6476986,0.946110103,5.138496011,1.791212495,-0.0203040302088,0.0937046851083,0.0792999911354,0.676290840875,0.0360755250153
19,25 KR,25,ANGELO,3,2008-12-29 15:25:00,,A1-2,,,,,,,,,,2008-12-29 15:25:00,25,2.785868114,0.152752126,346.450023,6.792101073,1626.887467,58.67307235,0.313457364,0.027809512,9.841027811,0.1832495,1.303168565,0.404709896,27174.82042,135.6640209,3264.454493,18.37874695,13.96824739,0.815312498,-536.0490717,4.071412864,602.6128574,2.575017549,1545.855562,18.55388463,11.57106102,0.599369799,-5.719478239,0.397379912,-6.665665005,1.174746927,0.098407077,0.019339534,0.015865225,0.000704,2359.854671,12.71370347,2374.891129,16.91737733,4505.821357,21.11462228,4635.126154,103.7737142,0.0,0.0,9.586161807,0.133327144,0.0,0.0,7.545642223,1.482372602,11.34807352,0.751931653,804.6861944,62.25307562,2.149816731,4.170707854,-0.0150552062032,0.0793262441799,0.061957890925,0.624749121456,0.031463230201
21,27 KR,27,ANGELO,3,2009-01-02 12:30:00,,A2-2,,,,,,,,,,2009-01-02 12:30:00,27,0.827494222,0.311090125,29.16617313,5.774659368,370.0153048,47.23948388,0.085541409,0.007967785,1.668965155,0.039661113,1.570212013,0.43126883,5513.462471,38.91438644,675.2361441,0.73167751,10.39489413,0.030527493,-681.6684684,18.02783743,48.23646976,1.071978671,308.0084921,6.701403073,19.53008637,0.306366239,-4.38297976,0.053439456,-3.549643599,0.504043664,0.047874373,0.019230885,0.003217287,0.000232,747.1519998,2.790600552,758.0460533,6.642471416,1885.251965,167.3187738,2051.617304,44.82429793,0.0,0.0,1.608370761,0.001146985,0.0,0.0,7.545642223,1.282146483,2.771096566,0.021114445,250.4121608,7.673061959,4.397621338,1.537383307,-0.0191449997692,0.0164082383016,0.0123449803634,0.126754502208,0.00979111548728
22,28 KR,28,ANGELO,3,2009-01-05 00:00:00,,A3-3,,,,,,,,,,2009-01-05 00:00:00,28,0.559400859,0.085721657,-1.08262462,3.087745821,5987.579595,265.868054,0.553212295,0.029607122,2.414250676,0.034297179,1.570212013,0.180898969,3078.982962,15.82121548,620.4472119,7.924439474,2.241775753,0.057524595,-123.8370639,478.4250978,569.5033872,24.23579292,6176.299013,109.0035913,5.680897375,0.047208297,-3.581180589,0.097707166,-3.906230114,0.357708407,0.075795774,0.014993571,0.006311762,0.000547,660.2758108,2.325863318,609.3780664,9.227903352,2761.932501,18.08261464,2955.140134,81.14213775,0.0,0.0,2.489813653,0.036228912,0.0,0.0,7.545642223,2.709309677,4.065660488,0.095631181,726.9454599,20.87499269,3.117954362,0.986806952,-0.00347802585816,0.0150768672492,0.247546064441,0.0707858182964,0.0284235674821
24,30 KR,30,ANGELO,3,2009-01-08 13:15:00,,A4-3,,,,,,,,,,2009-01-08 13:15:00,30,2.326824803,0.120311098,87.8875408,2.480172284,563.6857336,16.69816876,0.274522555,0.029908344,3.128362603,0.068674354,1.570212013,1.961050459,4156.635315,61.00933206,816.6820477,7.831429621,22.54682561,0.636300941,254.9592616,113.1360419,37.97544196,0.669277689,534.8339825,6.112818303,56.5206762,0.957821225,2.088941881,0.161347849,2.846233476,2.158445046,0.32534487,0.019230885,0.009120098,0.000545,700.7045008,21.2412549,687.9349184,36.85395572,6763.414059,23.08183892,6776.513533,372.4225463,0.0,0.0,3.126204679,0.070203406,0.0,0.0,7.545642223,2.637353416,7.277222764,0.136162151,507.6316686,6.634884804,3.935406971,0.732671207,0.00716065834167,0.0198453737591,0.0214361460186,0.0955610458919,0.0198483982423
26,32 KR,32,ANGELO,3,2009-01-22 11:03:00,,A5-3,,,,,,,,,,2009-01-22 11:03:00,32,5.174261805,0.134705462,187.6700387,6.551746283,3417.972394,29.95411194,1.055977065,0.01751941,12.78394431,0.349653552,1.570212013,1.907725383,6807.486078,100.7135176,1273.593343,50.89499155,17.96715284,0.274747436,1001.339902,78.56122516,596.3778256,13.18703921,3265.521538,2.7967394,92.94006937,1.640975996,-2.861879875,0.310716276,-1.103482605,1.292628106,0.491860083,0.061929969,0.016560683,0.000182,8394.503108,22.05048384,9475.435598,262.1851741,15983.43591,653.8941587,17128.74616,45.8053786,0.0,0.0,13.07896063,0.648837672,0.0,0.0,7.545642223,6.413676916,34.73206505,1.130950996,3350.930187,13.479949,4.011052974,1.419971979,0.0281231318176,0.0309483182349,0.130882103243,0.156504104933,0.131021370312
