,sample id ,sample id numb,description,description.1,date/time,Bag Label ,Vial Label,Label Color,# of vials,Vial type,Lid type,collected by,received in 395 McCone,notes,Wood/Kim taken,Unnamed: 15,datetime,Sample Id,Li7(LR),Li7(LR)_SD,B11(LR),B11(LR)_SD,Ca43(LR),Ca43(LR)_SD,Rb85(LR),Rb85(LR)_SD,Sr88(LR),Sr88(LR)_SD,In115(LR),In115(LR)_SD,Na23(MR),Na23(MR)_SD,Mg25(MR),Mg25(MR)_SD,Al27(MR),Al27(MR)_SD,Si28(MR),Si28(MR)_SD,P31(MR),P31(MR)_SD,Ca44(MR),Ca44(MR)_SD,Mn55(MR),Mn55(MR)_SD,Fe56(MR),Fe56(MR)_SD,Fe57(MR),Fe57(MR)_SD,Co59(MR),Co59(MR)_SD,Ni60(MR),Ni60(MR)_SD,Cu63(MR),Cu63(MR)_SD,Cu65(MR),Cu65(MR)_SD,Zn64(MR),Zn64(MR)_SD,Zn66(MR),Zn66(MR)_SD,Rb85(MR),Rb85(MR)_SD,Sr88(MR),Sr88(MR)_SD,Mo98(MR),Mo98(MR)_SD,In115(MR),In115(MR)_SD,Ba138(MR),Ba138(MR)_SD,K39(HR),K39(HR)_SD,In115(HR),In115(HR)_SD,Si (ppm),Mg (ppm),Ca (ppm),Na (ppm),K (ppm)
0,4 KR,4,CONGER ,2,2008-11-04 13:10:00,,,,,,,,,,,,2008-11-04 13:10:00,4,42.18545988,0.851630702,29055.94994,404.8456567,12943.85153,419.0605908,4.768392491,0.227446248,43.55050909,0.515169229,-1.597619728,1.361103751,107653.3825,799.8280487,14675.24058,17.85479144,858.3816757,31.07781846,52721.15621,534.0065113,14297.4635,164.8238105,13029.97024,356.2668993,2523.365191,29.65276008,361.9656131,12.86692945,347.3108701,2.690942788,1.700572398,0.006410295,0.161516033,0.004318681,2644.331721,29.0675974,2502.190127,27.39160321,8154.752447,45.37679119,8245.994698,58.37805899,0.0,0.0,47.41760018,1.118666548,0.0,0.0,7.545642223,1.596472045,96.61978594,1.341082167,41104.19509,2620.221038,2.700844626,2.777406333,1.48070003274,0.356608346094,0.522241207219,2.47495126368,1.60717402802
3,7 KR,7,CONGER ,2,2008-11-06 00:00:00,,,,,,,,,,,,2008-11-06 00:00:00,7,14.90569169,0.397456307,541.8641604,12.40989732,14764.38306,430.6561664,5.618679991,0.156353202,58.16354099,0.753506415,-1.411095753,0.667707135,87327.34841,2266.460275,15027.79323,403.5077455,908.9707961,18.0494321,3161.459664,233.784314,27565.18462,375.5044864,14325.18626,171.5320675,3748.40368,89.86304089,164.7138247,4.453163207,162.6744082,0.264216437,1.02570046,0.055736972,0.08701889,0.000832,2936.780895,35.57140658,3078.112303,120.7947708,11689.9901,77.06297612,11990.54622,284.0303728,0.0,0.0,57.46013429,0.264953585,0.0,0.0,7.545642223,6.303074069,155.7316678,2.017675511,46888.53289,2720.537783,-0.650982785,0.506125591,0.0887911753933,0.365175375489,0.574153465301,2.00765573995,1.833341636
4,8 KR,8,CONGER ,2,2008-11-09 00:00:00,,,,,,,,,,,,2008-11-09 00:00:00,8,27.23573021,0.274996796,884.8142485,18.28214434,20815.40779,708.7812432,8.119725512,0.146485781,102.5409743,1.009097448,1.394650548,1.320215099,70378.0725,1778.636941,22091.44964,873.3439175,1709.608275,56.21025193,6269.878482,104.3474712,60603.43452,865.0584285,18466.52181,832.4358256,8314.624996,106.9449339,258.0352658,0.075339338,254.1339229,4.247787331,1.532999919,0.119731273,0.180815465,0.004397923,11118.43192,266.8092468,11748.42697,484.640381,15060.01329,245.9061519,15337.24298,738.0818383,0.0,0.0,94.83459081,1.949835318,0.0,0.0,7.545642223,5.975130186,293.7498951,7.72005438,77493.02219,3564.023407,1.065830131,0.434391255,0.176092672106,0.536822226252,0.740138194145,1.61799188677,3.02997716763
6,10 KR,10,CONGER ,2,2008-11-12 00:00:00,,,,,,,,,,,,2008-11-12 00:00:00,10,21.39865286,0.320757982,885.8626966,8.681325866,18195.91871,34.03753639,7.139697116,0.11629565,66.35231173,2.66046494,-1.224571778,0.452911701,68302.56087,62.39413,13863.01732,192.1583562,1018.561445,11.60937712,7002.684194,119.2886096,28349.95256,1231.629759,17935.28852,56.60800587,3416.965585,10.94852084,205.1884985,1.76163026,214.3449808,5.251809791,0.412200275,0.044872065,0.038589381,0.000468,7817.618967,21.23070411,7920.721427,267.8589199,19530.45117,116.1487459,21084.01446,47.47998182,0.0,0.0,68.44194261,1.498832821,0.0,0.0,7.545642223,3.519231691,113.2560929,0.586494092,52551.63644,742.1234343,4.467022235,0.859585801,0.196673886931,0.336871320876,0.718846363882,1.5702758744,2.0547689848
7,11 KR,11,CONGER ,2,2008-11-21 11:21:00,,,,,,,,,,,,2008-11-21 11:21:00,11,56.29973388,0.374253452,2285.916109,20.65316302,31296.46681,742.5420516,9.698632339,0.187048608,80.4600725,1.517660701,3.172139909,1.298230948,80333.53414,667.8897095,16306.84497,91.06594705,1310.508611,24.59436045,11857.7939,216.548035,30740.90096,374.5175854,27883.7805,77.5431583,3665.701187,56.19660022,341.7363707,11.75836491,344.500023,1.991785447,0.754500321,0.057801304,0.323064974,0.000157,4549.88447,30.14528536,4542.154257,65.99170872,20028.76037,209.9348449,22430.4445,217.6166616,0.0,0.0,73.67774669,2.88980948,0.0,0.0,7.545642223,0.626442748,103.86279,1.936148012,62350.22008,5094.44796,7.048830421,3.221300855,0.333032070578,0.396256332771,1.11758192244,1.84686794988,2.43789360513
8,12 KR,12,CONGER ,2,2008-12-15 12:05:00,,,,,,,,,,,,2008-12-15 12:05:00,12,18.1065659,0.224938785,749.3723149,13.48661449,17724.65821,214.9366144,7.440823887,0.225682647,59.21298912,2.436362809,-0.432613843,0.327860845,92369.45816,2330.931602,16690.00482,216.6013456,1296.486786,6.773157696,6534.535867,14.13443052,12410.7992,4.259555461,17558.75198,23.60878913,3191.564286,10.78592532,214.4208853,1.669538448,213.7776189,1.369860603,1.003492494,0.055628323,0.038486858,0.001248059,5727.386112,190.8713502,5649.820898,9.183610027,21128.87202,18.23021951,22907.78289,214.7993438,0.0,0.0,63.44977982,0.288209699,0.0,0.0,7.545642223,0.199858057,82.89262609,1.510052496,56365.40271,37.41859399,3.792002676,1.175339501,0.183525707093,0.405567117126,0.703754779358,2.1235738431,2.20388724596
9,13 KR,13,CONGER ,2,2008-12-19 00:00:00,,,,,,,,,,,,2008-12-19 00:00:00,13,7.245279941,0.250075211,326.6058464,6.36813691,7384.0552,59.7799841,3.626885094,0.044770206,21.9183292,0.318295169,-0.299092119,0.98896989,44930.98791,290.0447668,5792.318945,166.2923161,638.6553577,2.545619103,1561.319778,9.165413146,4008.088782,43.19109832,7360.974521,5.004894029,1069.679195,4.968380605,154.2883814,0.132615953,144.690171,0.695092472,0.79930929,0.117558292,0.00997391,0.000339,1682.225678,27.76264874,1562.111687,14.47017112,5012.4449,16.75111691,4994.387177,40.85110915,0.0,0.0,22.8711615,0.567520375,0.0,0.0,7.545642223,2.936956469,37.73636018,0.650795929,21987.59791,663.42791,6.824160934,0.678717177,0.043850446625,0.140753350364,0.295027858802,1.03296341205,0.859715078281
11,15 KR,15,CONGER ,2,2008-12-22 11:10:00,,,,,,,,,,,,2008-12-22 11:10:00,15,4.972320495,0.074764754,234.4454128,5.007692655,5062.752705,54.65039306,2.232230407,0.061624014,16.78057846,0.162543199,-0.032048672,1.042014627,27459.27353,258.2933284,3883.398386,66.63845933,410.2566347,0.605773448,1326.293471,73.55622785,2122.999286,11.37204887,4986.615161,86.1026427,788.7044555,6.654614142,213.4099744,5.435569457,209.478987,3.121818823,0.466690087,0.044872065,0.232428893,0.014517108,1848.519482,34.51498767,1778.522534,6.652017391,3420.659416,29.2639381,3471.262702,45.98956616,0.0,0.0,16.71000863,0.43348131,0.0,0.0,7.545642223,1.277177636,34.57898268,0.396409319,13116.79231,660.5265864,2.966269964,2.063128545,0.0372496152798,0.0943665807798,0.199863535653,0.631288698455,0.512866579321
14,18 KR,18,CONGER ,2,2008-12-24 11:20:00,,,,,,,,,,,,2008-12-24 11:20:00,18,6.932674822,0.218923231,280.7885665,5.642735311,9310.448091,186.1974056,3.020016505,0.077758778,27.70733566,1.213785842,0.368516499,0.780272813,45494.10882,895.421498,6095.337408,103.6966851,721.9156714,4.776618126,706.3588657,0.643851337,3019.739949,157.5581773,9206.124006,236.1071261,1137.607812,31.2579397,91.23778187,2.011232763,90.47219811,2.207223465,0.816386143,0.045089363,0.016927677,0.000806,3664.477979,30.37271353,3602.818298,44.28721572,6306.977657,204.723375,6496.91636,46.99038121,0.0,0.0,27.31086798,2.610736111,0.0,0.0,7.545642223,6.088309472,47.37744667,0.340049362,17279.07244,324.1129718,2.760180896,1.293670499,0.0198384419226,0.148116699014,0.36898145016,1.04590956177,0.675611732404
15,19 KR,19,CONGER ,2,2008-12-25 15:50:00,,,,,,,,,,,,2008-12-25 15:50:00,19,6.744910294,0.110858083,354.0466298,7.254738864,12403.94796,15.42252046,3.549824484,0.07485831,29.59973449,0.473184025,0.502038223,1.668979373,57802.21407,817.230881,7174.09887,262.1668726,694.157651,1.442475958,1260.288596,10.58188609,1819.268634,21.67211906,12106.45478,260.7584412,1184.647031,35.76838032,130.4833534,1.906693582,128.7305404,4.028284445,0.793770595,0.062147267,0.010587422,0.00111731,4314.235019,90.93090591,4134.844574,137.6968746,8401.16757,12.04506644,8710.542814,236.1021386,0.0,0.0,30.0239397,1.300839441,0.0,0.0,7.545642223,6.537714053,50.18272486,2.695555986,18655.6207,1374.937838,3.2907728,0.171365358,0.035395835363,0.174330602541,0.485226707582,1.32887290147,0.72943476937
